prefecture_code,target_variable,predictor_variable,frequency_band,best_lag_days,best_correlation,best_absolute_correlation,zero_lag_correlation,absolute_correlation_gain_vs_zero,n_observations_at_best_lag,max_lag_searched,lag_interpretation
JP-01,incidence_per_100k,t2m,annual,0,-0.9869744026049068,0.9869744026049068,-0.9869744026049068,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,rh,annual,6,-0.9730572042030463,0.9730572042030463,-0.9672177196018892,0.00583948460115713,4377,30,predictor_leads_target
JP-01,incidence_per_100k,tp,annual,0,-0.7706164290585724,0.7706164290585724,-0.7706164290585724,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,t2m_std_anom,annual,0,-0.20503554010544153,0.20503554010544153,-0.20503554010544153,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,c2w_event,annual,30,0.009024886622055096,0.009024886622055096,-0.0020245374545588574,0.0070003491674962386,4353,30,predictor_leads_target
JP-01,incidence_per_100k,nw_wind,high_frequency,2,-0.0472096220078925,0.0472096220078925,0.03263077346251145,0.014578848545381051,4381,14,predictor_leads_target
JP-01,incidence_per_100k,w2c_transition_intensity,high_frequency,3,0.044153652638786955,0.044153652638786955,-0.000687279036514306,0.04346637360227265,4380,14,predictor_leads_target
JP-01,incidence_per_100k,w2c_event,high_frequency,3,0.04237007616672967,0.04237007616672967,-0.005075939844115008,0.03729413632261466,4380,14,predictor_leads_target
JP-01,incidence_per_100k,tp,high_frequency,7,-0.03324813000922671,0.03324813000922671,-0.03129757466412879,0.0019505553450979221,4376,14,predictor_leads_target
JP-01,incidence_per_100k,rh,high_frequency,0,-0.03265808666509884,0.03265808666509884,-0.03265808666509884,0.0,4383,14,predictor_leads_target
JP-01,incidence_per_100k,ah,high_frequency,9,-0.032319396168913286,0.032319396168913286,0.01526616882510528,0.017053227343808007,4374,14,predictor_leads_target
JP-01,incidence_per_100k,t2m,high_frequency,9,-0.02985443029667197,0.02985443029667197,0.01567778735163457,0.014176642945037399,4374,14,predictor_leads_target
JP-01,incidence_per_100k,c2w_transition_intensity,high_frequency,8,0.023933661869805514,0.023933661869805514,-0.009744764228132616,0.014188897641672898,4375,14,predictor_leads_target
JP-01,incidence_per_100k,c2w_event,high_frequency,8,0.018486654594924087,0.018486654594924087,-0.009839664465687993,0.008646990129236094,4375,14,predictor_leads_target
JP-01,incidence_per_100k,t2m_std_anom,interannual,0,-0.2508376808008583,0.2508376808008583,-0.2508376808008583,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,t2m,interannual,0,-0.24533283843334067,0.24533283843334067,-0.24533283843334067,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,ah,interannual,0,-0.1691387970694421,0.1691387970694421,-0.1691387970694421,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,tp,interannual,0,0.1434268000792391,0.1434268000792391,0.1434268000792391,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,c2w_event,interannual,0,-0.11926498298700902,0.11926498298700902,-0.11926498298700902,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,rh,interannual,0,0.11679167272144983,0.11679167272144983,0.11679167272144983,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,c2w_transition_intensity,interannual,0,-0.10690863505606134,0.10690863505606134,-0.10690863505606134,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,nw_wind,interannual,0,-0.04622732260863126,0.04622732260863126,-0.04622732260863126,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,w2c_transition_intensity,interannual,0,-0.02422012850247776,0.02422012850247776,-0.02422012850247776,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,w2c_event,interannual,0,-0.016282382102154082,0.016282382102154082,-0.016282382102154082,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,ah,seasonal_subannual,0,-0.15928610657537984,0.15928610657537984,-0.15928610657537984,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,t2m_std_anom,seasonal_subannual,0,-0.11192871575883913,0.11192871575883913,-0.11192871575883913,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,nw_wind,seasonal_subannual,8,0.11185588599297791,0.11185588599297791,0.0610783795435084,0.05077750644946951,4375,30,predictor_leads_target
JP-01,incidence_per_100k,t2m,seasonal_subannual,0,-0.1099490394341193,0.1099490394341193,-0.1099490394341193,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,tp,seasonal_subannual,30,0.1060259951139657,0.1060259951139657,-0.02399561032601333,0.08203038478795237,4353,30,predictor_leads_target
JP-01,incidence_per_100k,c2w_transition_intensity,seasonal_subannual,0,0.059134727889667386,0.059134727889667386,0.059134727889667386,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,c2w_event,seasonal_subannual,0,0.055316156379700165,0.055316156379700165,0.055316156379700165,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,rh,seasonal_subannual,2,-0.05209022801985114,0.05209022801985114,-0.05005822435030282,0.002032003669548317,4381,30,predictor_leads_target
JP-01,incidence_per_100k,w2c_event,seasonal_subannual,0,-0.020449482680546246,0.020449482680546246,-0.020449482680546246,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,w2c_transition_intensity,seasonal_subannual,0,-0.010926758067971987,0.010926758067971987,-0.010926758067971987,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,t2m,semiannual,14,-0.8864486138629826,0.8864486138629826,-0.7799979617377821,0.10645065212520044,4369,30,predictor_leads_target
JP-01,incidence_per_100k,rh,semiannual,0,0.7235243616642357,0.7235243616642357,0.7235243616642357,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,ah,semiannual,30,-0.6011928554211003,0.6011928554211003,0.3113104459180515,0.28988240950304883,4353,30,predictor_leads_target
JP-01,incidence_per_100k,tp,semiannual,30,-0.3363869817974821,0.3363869817974821,-0.0930212564479667,0.2433657253495154,4353,30,predictor_leads_target
JP-01,incidence_per_100k,t2m_std_anom,semiannual,27,-0.1229727950508141,0.1229727950508141,-0.07078330031923709,0.05218949473157701,4356,30,predictor_leads_target
JP-01,incidence_per_100k,nw_wind,semiannual,26,0.08275163949932722,0.08275163949932722,0.042102382179359105,0.040649257319968116,4357,30,predictor_leads_target
JP-01,incidence_per_100k,c2w_transition_intensity,semiannual,0,0.030165335268917088,0.030165335268917088,0.030165335268917088,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,w2c_transition_intensity,semiannual,29,-0.024804103670550248,0.024804103670550248,-0.012572369544721747,0.012231734125828501,4354,30,predictor_leads_target
JP-01,incidence_per_100k,w2c_event,semiannual,30,-0.022675723953050796,0.022675723953050796,-0.002361547305543458,0.02031417664750734,4353,30,predictor_leads_target
JP-01,incidence_per_100k,c2w_event,semiannual,0,0.01840072811971057,0.01840072811971057,0.01840072811971057,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,rh,subseasonal,15,-0.059028378233734816,0.059028378233734816,-0.05549017018050393,0.003538208053230886,4368,21,predictor_leads_target
JP-01,incidence_per_100k,t2m,subseasonal,20,0.054366965993385426,0.054366965993385426,-0.03001203168095722,0.024354934312428207,4363,21,predictor_leads_target
JP-01,incidence_per_100k,tp,subseasonal,12,-0.05370232419386856,0.05370232419386856,-0.047291288140623895,0.0064110360532446675,4371,21,predictor_leads_target
JP-01,incidence_per_100k,c2w_transition_intensity,subseasonal,12,-0.05081405874030033,0.05081405874030033,-0.0030430739753860127,0.047770984764914315,4371,21,predictor_leads_target
JP-01,incidence_per_100k,ah,subseasonal,2,-0.0474574480134381,0.0474574480134381,-0.029098635954595272,0.018358812058842825,4381,21,predictor_leads_target
JP-01,incidence_per_100k,t2m_std_anom,subseasonal,21,0.04493966290160643,0.04493966290160643,-0.019763316245273835,0.02517634665633259,4362,21,predictor_leads_target
JP-01,incidence_per_100k,c2w_event,subseasonal,12,-0.036401278792864866,0.036401278792864866,-0.0003091273580601758,0.03609215143480469,4371,21,predictor_leads_target
JP-01,incidence_per_100k,w2c_transition_intensity,subseasonal,12,-0.022516501636602182,0.022516501636602182,0.012732401869851407,0.009784099766750775,4371,21,predictor_leads_target
JP-01,incidence_per_100k,nw_wind,subseasonal,19,-0.022452404730913478,0.022452404730913478,0.004168108289930193,0.018284296440983283,4364,21,predictor_leads_target
JP-01,incidence_per_100k,w2c_event,subseasonal,11,-0.022049645036125536,0.022049645036125536,0.007347607491404651,0.014702037544720884,4372,21,predictor_leads_target
JP-01,incidence_per_100k,nw_wind,trend,0,0.996117729435273,0.996117729435273,0.996117729435273,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,c2w_transition_intensity,trend,0,0.982376442280897,0.982376442280897,0.982376442280897,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,c2w_event,trend,0,0.9811501985660999,0.9811501985660999,0.9811501985660999,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,w2c_event,trend,0,0.9758148525772146,0.9758148525772146,0.9758148525772146,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,w2c_transition_intensity,trend,0,0.9756220039592917,0.9756220039592917,0.9756220039592917,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,tp,trend,0,0.8995357936427238,0.8995357936427238,0.8995357936427238,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,ah,trend,0,0.49399964402258295,0.49399964402258295,0.49399964402258295,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,rh,trend,0,0.39226385987065254,0.39226385987065254,0.39226385987065254,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,t2m,trend,0,0.3620064392476044,0.3620064392476044,0.3620064392476044,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,t2m_std_anom,trend,0,-0.31781666242941636,0.31781666242941636,-0.31781666242941636,0.0,4383,0,predictor_leads_target
JP-02,cases,nw_wind,annual,8,0.9865291017242304,0.9865291017242304,0.9767867151780103,0.009742386546220061,4375,30,predictor_leads_target
JP-02,cases,t2m,annual,0,-0.9770577069415447,0.9770577069415447,-0.9770577069415447,0.0,4383,30,predictor_leads_target
JP-02,cases,ah,annual,0,-0.9747323250670736,0.9747323250670736,-0.9747323250670736,0.0,4383,30,predictor_leads_target
JP-02,cases,rh,annual,0,-0.9607382670904957,0.9607382670904957,-0.9607382670904957,0.0,4383,30,predictor_leads_target
JP-02,cases,tp,annual,0,-0.7727727811208394,0.7727727811208394,-0.7727727811208394,0.0,4383,30,predictor_leads_target
JP-02,cases,t2m_std_anom,annual,1,-0.16386381790892368,0.16386381790892368,-0.16384395118322584,1.9866725697842424e-05,4382,30,predictor_leads_target
JP-02,cases,w2c_event,annual,0,0.07826373951501028,0.07826373951501028,0.07826373951501028,0.0,4383,30,predictor_leads_target
JP-02,cases,w2c_transition_intensity,annual,4,0.0744269477149403,0.0744269477149403,0.0740744854085171,0.0003524623064231902,4379,30,predictor_leads_target
JP-02,cases,c2w_transition_intensity,annual,16,0.060971697055915305,0.060971697055915305,0.057836443374309356,0.00313525368160595,4367,30,predictor_leads_target
JP-02,cases,c2w_event,annual,26,0.020327032339861995,0.020327032339861995,0.0159507244824523,0.004376307857409695,4357,30,predictor_leads_target
JP-02,cases,ah,high_frequency,5,-0.039960584085211845,0.039960584085211845,-0.014150948992650417,0.025809635092561428,4378,14,predictor_leads_target
JP-02,cases,c2w_transition_intensity,high_frequency,14,-0.03681339463897036,0.03681339463897036,-0.007250591003874244,0.02956280363509612,4369,14,predictor_leads_target
JP-02,cases,t2m,high_frequency,9,0.0365452917577182,0.0365452917577182,-0.023391844134184967,0.013153447623533234,4374,14,predictor_leads_target
JP-02,cases,c2w_event,high_frequency,14,-0.034700685460820155,0.034700685460820155,-0.006814315032923004,0.02788637042789715,4369,14,predictor_leads_target
JP-02,cases,w2c_transition_intensity,high_frequency,4,0.03087038847950561,0.03087038847950561,-0.011579013574991557,0.019291374904514054,4379,14,predictor_leads_target
JP-02,cases,w2c_event,high_frequency,4,0.029597055343541175,0.029597055343541175,-0.008421877682739637,0.02117517766080154,4379,14,predictor_leads_target
JP-02,cases,rh,high_frequency,14,0.028120698065269168,0.028120698065269168,0.01296631329983558,0.015154384765433588,4369,14,predictor_leads_target
JP-02,cases,nw_wind,high_frequency,5,0.022346006286511646,0.022346006286511646,0.007363078279068849,0.014982928007442796,4378,14,predictor_leads_target
JP-02,cases,tp,high_frequency,0,-0.022158218021276987,0.022158218021276987,-0.022158218021276987,0.0,4383,14,predictor_leads_target
JP-02,cases,rh,interannual,0,0.38997224180518,0.38997224180518,0.38997224180518,0.0,4383,0,predictor_leads_target
JP-02,cases,t2m,interannual,0,-0.36119312996597086,0.36119312996597086,-0.36119312996597086,0.0,4383,0,predictor_leads_target
JP-02,cases,w2c_event,interannual,0,-0.3371046997534072,0.3371046997534072,-0.3371046997534072,0.0,4383,0,predictor_leads_target
JP-02,cases,w2c_transition_intensity,interannual,0,-0.21818736954173887,0.21818736954173887,-0.21818736954173887,0.0,4383,0,predictor_leads_target
JP-02,cases,ah,interannual,0,0.15035094873042434,0.15035094873042434,0.15035094873042434,0.0,4383,0,predictor_leads_target
JP-02,cases,c2w_event,interannual,0,0.11248969405762975,0.11248969405762975,0.11248969405762975,0.0,4383,0,predictor_leads_target
JP-02,cases,nw_wind,interannual,0,-0.10530702486080568,0.10530702486080568,-0.10530702486080568,0.0,4383,0,predictor_leads_target
JP-02,cases,c2w_transition_intensity,interannual,0,0.10279640158967082,0.10279640158967082,0.10279640158967082,0.0,4383,0,predictor_leads_target
JP-02,cases,t2m_std_anom,interannual,0,-0.015081136810394908,0.015081136810394908,-0.015081136810394908,0.0,4383,0,predictor_leads_target
JP-02,cases,tp,interannual,0,0.0018538185910739328,0.0018538185910739328,0.0018538185910739328,0.0,4383,0,predictor_leads_target
JP-02,cases,nw_wind,seasonal_subannual,5,0.26239189862355844,0.26239189862355844,0.23012621111876425,0.032265687504794194,4378,30,predictor_leads_target
JP-02,cases,rh,seasonal_subannual,0,-0.24362664925687705,0.24362664925687705,-0.24362664925687705,0.0,4383,30,predictor_leads_target
JP-02,cases,ah,seasonal_subannual,30,0.18809402375418482,0.18809402375418482,-0.12440377310586478,0.06369025064832004,4353,30,predictor_leads_target
JP-02,cases,t2m_std_anom,seasonal_subannual,0,-0.1315873358412277,0.1315873358412277,-0.1315873358412277,0.0,4383,30,predictor_leads_target
JP-02,cases,t2m,seasonal_subannual,30,0.10198988899351005,0.10198988899351005,-0.060857851103705306,0.04113203788980475,4353,30,predictor_leads_target
JP-02,cases,tp,seasonal_subannual,30,0.06011988159665113,0.06011988159665113,-0.028013123982067765,0.03210675761458337,4353,30,predictor_leads_target
JP-02,cases,w2c_transition_intensity,seasonal_subannual,16,-0.031603828676262845,0.031603828676262845,0.008932207845240172,0.02267162083102267,4367,30,predictor_leads_target
JP-02,cases,w2c_event,seasonal_subannual,15,-0.027984491904659212,0.027984491904659212,0.005477807282327683,0.02250668462233153,4368,30,predictor_leads_target
JP-02,cases,c2w_transition_intensity,seasonal_subannual,1,0.019963034504181226,0.019963034504181226,0.0197917581610981,0.00017127634308312586,4382,30,predictor_leads_target
JP-02,cases,c2w_event,seasonal_subannual,0,0.011544626343675353,0.011544626343675353,0.011544626343675353,0.0,4383,30,predictor_leads_target
JP-02,cases,rh,semiannual,0,0.9132395722251433,0.9132395722251433,0.9132395722251433,0.0,4383,30,predictor_leads_target
JP-02,cases,t2m,semiannual,29,-0.7817470631590571,0.7817470631590571,-0.430928935427058,0.35081812773199905,4354,30,predictor_leads_target
JP-02,cases,ah,semiannual,0,0.6807409524415876,0.6807409524415876,0.6807409524415876,0.0,4383,30,predictor_leads_target
JP-02,cases,nw_wind,semiannual,9,0.5951597304029616,0.5951597304029616,0.5683713337123812,0.026788396690580307,4374,30,predictor_leads_target
JP-02,cases,tp,semiannual,30,-0.3851936919195473,0.3851936919195473,0.34696255723834546,0.03823113468120182,4353,30,predictor_leads_target
JP-02,cases,w2c_event,semiannual,21,-0.1866854209589281,0.1866854209589281,-0.1411785613621408,0.0455068595967873,4362,30,predictor_leads_target
JP-02,cases,c2w_transition_intensity,semiannual,12,-0.16107833689496698,0.16107833689496698,-0.14811564629237373,0.012962690602593252,4371,30,predictor_leads_target
JP-02,cases,c2w_event,semiannual,7,-0.11007409904816845,0.11007409904816845,-0.10718296743426298,0.0028911316139054732,4376,30,predictor_leads_target
JP-02,cases,t2m_std_anom,semiannual,30,0.01978622839136302,0.01978622839136302,-0.0009735231484780781,0.018812705242884944,4353,30,predictor_leads_target
JP-02,cases,c2w_event,subseasonal,19,0.08594016302134472,0.08594016302134472,0.05749977695061925,0.028440386070725465,4364,21,predictor_leads_target
JP-02,cases,c2w_transition_intensity,subseasonal,20,0.08064302734615637,0.08064302734615637,0.06252133805836234,0.018121689287794035,4363,21,predictor_leads_target
JP-02,cases,tp,subseasonal,7,-0.06155464177493167,0.06155464177493167,0.030148786639158574,0.0314058551357731,4376,21,predictor_leads_target
JP-02,cases,ah,subseasonal,8,-0.060622353191900236,0.060622353191900236,0.025427337803125213,0.03519501538877502,4375,21,predictor_leads_target
JP-02,cases,t2m,subseasonal,19,0.05733434698246283,0.05733434698246283,0.012696716965636411,0.04463763001682641,4364,21,predictor_leads_target
JP-02,cases,t2m_std_anom,subseasonal,18,0.048041235271824856,0.048041235271824856,0.018381707859992963,0.029659527411831893,4365,21,predictor_leads_target
JP-02,cases,w2c_event,subseasonal,0,0.03791215068626814,0.03791215068626814,0.03791215068626814,0.0,4383,21,predictor_leads_target
JP-02,cases,rh,subseasonal,7,-0.036489653193315603,0.036489653193315603,0.012871684338293802,0.0236179688550218,4376,21,predictor_leads_target
JP-02,cases,w2c_transition_intensity,subseasonal,0,0.035070312820763755,0.035070312820763755,0.035070312820763755,0.0,4383,21,predictor_leads_target
JP-02,cases,nw_wind,subseasonal,2,0.03345498466809731,0.03345498466809731,0.018427669734291864,0.015027314933805443,4381,21,predictor_leads_target
JP-02,cases,tp,trend,0,0.9627005004791238,0.9627005004791238,0.9627005004791238,0.0,4383,0,predictor_leads_target
