prefecture_code,target_variable,predictor_variable,frequency_band,reason
JP-06,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-06,cases,w2c_event,semiannual,constant_predictor_band
JP-06,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-06,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-06,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-06,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-06,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-07,cases,c2w_event,interannual,constant_predictor_band
JP-07,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-07,cases,tp,interannual,constant_predictor_band
JP-07,incidence_per_100k,c2w_event,interannual,constant_predictor_band
JP-07,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-07,incidence_per_100k,tp,interannual,constant_predictor_band
JP-07,cases,c2w_event,annual,constant_predictor_band
JP-07,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-07,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-07,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-07,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-07,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-07,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-07,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-08,cases,w2c_event,interannual,constant_predictor_band
JP-08,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-08,cases,tp,interannual,constant_predictor_band
JP-08,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-08,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-08,incidence_per_100k,tp,interannual,constant_predictor_band
JP-08,cases,c2w_event,annual,constant_predictor_band
JP-08,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-08,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-08,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-08,cases,c2w_event,semiannual,constant_predictor_band
JP-08,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-08,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-08,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-08,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-08,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-08,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-08,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-09,cases,w2c_event,interannual,constant_predictor_band
JP-09,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-09,cases,c2w_event,annual,constant_predictor_band
JP-09,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-09,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-09,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-09,cases,c2w_event,semiannual,constant_predictor_band
JP-09,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-09,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-09,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-10,cases,c2w_event,interannual,constant_predictor_band
JP-10,cases,w2c_event,interannual,constant_predictor_band
JP-10,cases,c2w_transition_intensity,interannual,constant_predictor_band
JP-10,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-10,cases,tp,interannual,constant_predictor_band
JP-10,incidence_per_100k,c2w_event,interannual,constant_predictor_band
JP-10,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-10,incidence_per_100k,c2w_transition_intensity,interannual,constant_predictor_band
JP-10,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-10,incidence_per_100k,tp,interannual,constant_predictor_band
JP-10,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-10,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-11,cases,w2c_event,interannual,constant_predictor_band
JP-11,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-11,cases,tp,interannual,constant_predictor_band
JP-11,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-11,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-11,incidence_per_100k,tp,interannual,constant_predictor_band
JP-11,cases,c2w_event,annual,constant_predictor_band
JP-11,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-11,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-11,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-11,cases,c2w_event,semiannual,constant_predictor_band
JP-11,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-11,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-11,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-11,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-11,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-13,cases,w2c_event,interannual,constant_predictor_band
JP-13,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-13,cases,tp,interannual,constant_predictor_band
JP-13,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-13,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-13,incidence_per_100k,tp,interannual,constant_predictor_band
JP-13,cases,c2w_event,annual,constant_predictor_band
JP-13,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-13,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-13,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-13,cases,c2w_event,semiannual,constant_predictor_band
JP-13,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-13,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-13,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-13,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-13,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-14,cases,w2c_event,interannual,constant_predictor_band
JP-14,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-14,cases,tp,interannual,constant_predictor_band
JP-14,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-14,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-14,incidence_per_100k,tp,interannual,constant_predictor_band
JP-14,cases,c2w_event,annual,constant_predictor_band
JP-14,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-14,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-14,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-14,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-14,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-15,cases,c2w_event,trend,constant_predictor_band
JP-15,cases,c2w_transition_intensity,trend,constant_predictor_band
JP-15,incidence_per_100k,c2w_event,trend,constant_predictor_band
JP-15,incidence_per_100k,c2w_transition_intensity,trend,constant_predictor_band
JP-15,cases,nw_wind,interannual,constant_predictor_band
JP-15,incidence_per_100k,nw_wind,interannual,constant_predictor_band
JP-15,cases,c2w_event,annual,constant_predictor_band
JP-15,cases,w2c_event,annual,constant_predictor_band
JP-15,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-15,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-15,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-15,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-15,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-15,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-15,cases,w2c_event,semiannual,constant_predictor_band
JP-15,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-15,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-15,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-15,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-15,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-16,cases,c2w_event,interannual,constant_predictor_band
JP-16,cases,w2c_event,interannual,constant_predictor_band
JP-16,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-16,incidence_per_100k,t2m,interannual,constant_target_band
JP-16,incidence_per_100k,t2m_std_anom,interannual,constant_target_band
JP-16,incidence_per_100k,c2w_event,interannual,constant_target_band
JP-16,incidence_per_100k,w2c_event,interannual,constant_target_band
JP-16,incidence_per_100k,c2w_transition_intensity,interannual,constant_target_band
JP-16,incidence_per_100k,w2c_transition_intensity,interannual,constant_target_band
JP-16,incidence_per_100k,ah,interannual,constant_target_band
JP-16,incidence_per_100k,rh,interannual,constant_target_band
JP-16,incidence_per_100k,tp,interannual,constant_target_band
JP-16,incidence_per_100k,nw_wind,interannual,constant_target_band
JP-16,cases,c2w_event,annual,constant_predictor_band
JP-16,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-16,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-16,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-16,cases,c2w_event,semiannual,constant_predictor_band
JP-16,cases,w2c_event,semiannual,constant_predictor_band
JP-16,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-16,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-16,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-16,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-16,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-16,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-16,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-16,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-17,cases,t2m,interannual,constant_target_band
JP-17,cases,t2m_std_anom,interannual,constant_target_band
JP-17,cases,c2w_event,interannual,constant_target_band
JP-17,cases,w2c_event,interannual,constant_target_band
JP-17,cases,c2w_transition_intensity,interannual,constant_target_band
JP-17,cases,w2c_transition_intensity,interannual,constant_target_band
JP-17,cases,ah,interannual,constant_target_band
JP-17,cases,rh,interannual,constant_target_band
JP-17,cases,tp,interannual,constant_target_band
JP-17,cases,nw_wind,interannual,constant_target_band
JP-17,incidence_per_100k,t2m,interannual,constant_target_band
JP-17,incidence_per_100k,t2m_std_anom,interannual,constant_target_band
JP-17,incidence_per_100k,c2w_event,interannual,constant_target_band
JP-17,incidence_per_100k,w2c_event,interannual,constant_target_band
JP-17,incidence_per_100k,c2w_transition_intensity,interannual,constant_target_band
JP-17,incidence_per_100k,w2c_transition_intensity,interannual,constant_target_band
JP-17,incidence_per_100k,ah,interannual,constant_target_band
JP-17,incidence_per_100k,rh,interannual,constant_target_band
JP-17,incidence_per_100k,tp,interannual,constant_target_band
JP-17,incidence_per_100k,nw_wind,interannual,constant_target_band
JP-17,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-17,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-17,cases,w2c_event,semiannual,constant_predictor_band
JP-17,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-17,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-17,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-17,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-17,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-18,cases,w2c_event,interannual,constant_predictor_band
JP-18,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-18,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-18,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-18,cases,c2w_event,semiannual,constant_predictor_band
JP-18,cases,w2c_event,semiannual,constant_predictor_band
JP-18,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-18,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-18,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-18,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-18,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-18,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-18,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-18,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-19,cases,nw_wind,trend,constant_predictor_band
JP-19,incidence_per_100k,nw_wind,trend,constant_predictor_band
JP-19,cases,w2c_event,interannual,constant_predictor_band
JP-19,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-19,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-19,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-19,cases,c2w_event,annual,constant_predictor_band
JP-19,cases,w2c_event,annual,constant_predictor_band
JP-19,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-19,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-19,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-19,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-19,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-19,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-19,cases,c2w_event,semiannual,constant_predictor_band
JP-19,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-19,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-19,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-19,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-19,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-20,cases,w2c_event,interannual,constant_predictor_band
JP-20,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-20,cases,tp,interannual,constant_predictor_band
JP-20,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-20,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-20,incidence_per_100k,tp,interannual,constant_predictor_band
JP-20,cases,c2w_event,annual,constant_predictor_band
JP-20,cases,w2c_event,annual,constant_predictor_band
JP-20,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-20,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-20,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-20,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-20,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-20,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-20,cases,c2w_event,semiannual,constant_predictor_band
JP-20,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-20,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-20,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-20,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-20,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-21,cases,t2m,interannual,constant_target_band
JP-21,cases,t2m_std_anom,interannual,constant_target_band
JP-21,cases,c2w_event,interannual,constant_target_band
JP-21,cases,w2c_event,interannual,constant_target_band
JP-21,cases,c2w_transition_intensity,interannual,constant_target_band
JP-21,cases,w2c_transition_intensity,interannual,constant_target_band
JP-21,cases,ah,interannual,constant_target_band
JP-21,cases,rh,interannual,constant_target_band
JP-21,cases,tp,interannual,constant_target_band
JP-21,cases,nw_wind,interannual,constant_target_band
JP-21,incidence_per_100k,t2m,interannual,constant_target_band
JP-21,incidence_per_100k,t2m_std_anom,interannual,constant_target_band
JP-21,incidence_per_100k,c2w_event,interannual,constant_target_band
JP-21,incidence_per_100k,w2c_event,interannual,constant_target_band
JP-21,incidence_per_100k,c2w_transition_intensity,interannual,constant_target_band
JP-21,incidence_per_100k,w2c_transition_intensity,interannual,constant_target_band
JP-21,incidence_per_100k,ah,interannual,constant_target_band
JP-21,incidence_per_100k,rh,interannual,constant_target_band
JP-21,incidence_per_100k,tp,interannual,constant_target_band
JP-21,incidence_per_100k,nw_wind,interannual,constant_target_band
JP-21,cases,c2w_event,annual,constant_predictor_band
JP-21,cases,w2c_event,annual,constant_predictor_band
JP-21,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-21,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-21,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-21,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-21,cases,c2w_event,semiannual,constant_predictor_band
JP-21,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-21,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-21,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-21,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-21,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-22,cases,w2c_event,interannual,constant_predictor_band
JP-22,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-22,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-22,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-22,cases,c2w_event,semiannual,constant_predictor_band
JP-22,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-22,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-22,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-22,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-22,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-22,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-22,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-23,cases,rh,trend,constant_predictor_band
JP-23,incidence_per_100k,rh,trend,constant_predictor_band
JP-23,cases,w2c_event,interannual,constant_predictor_band
JP-23,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-23,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-23,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-23,cases,c2w_event,annual,constant_predictor_band
JP-23,cases,w2c_event,annual,constant_predictor_band
JP-23,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-23,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-23,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-23,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-23,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-23,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-23,cases,c2w_event,semiannual,constant_predictor_band
JP-23,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-23,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-23,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-23,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-23,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-24,cases,w2c_event,interannual,constant_predictor_band
JP-24,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-24,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-24,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-24,cases,c2w_event,annual,constant_predictor_band
JP-24,cases,w2c_event,annual,constant_predictor_band
JP-24,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-24,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-24,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-24,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-24,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-24,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-24,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-24,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-25,cases,rh,trend,constant_predictor_band
JP-25,incidence_per_100k,rh,trend,constant_predictor_band
JP-25,cases,t2m,interannual,constant_target_band
JP-25,cases,t2m_std_anom,interannual,constant_target_band
JP-25,cases,c2w_event,interannual,constant_target_band
JP-25,cases,w2c_event,interannual,constant_target_band
JP-25,cases,c2w_transition_intensity,interannual,constant_target_band
JP-25,cases,w2c_transition_intensity,interannual,constant_target_band
JP-25,cases,ah,interannual,constant_target_band
JP-25,cases,rh,interannual,constant_target_band
JP-25,cases,tp,interannual,constant_target_band
JP-25,cases,nw_wind,interannual,constant_target_band
JP-25,incidence_per_100k,t2m,interannual,constant_target_band
JP-25,incidence_per_100k,t2m_std_anom,interannual,constant_target_band
JP-25,incidence_per_100k,c2w_event,interannual,constant_target_band
JP-25,incidence_per_100k,w2c_event,interannual,constant_target_band
JP-25,incidence_per_100k,c2w_transition_intensity,interannual,constant_target_band
JP-25,incidence_per_100k,w2c_transition_intensity,interannual,constant_target_band
JP-25,incidence_per_100k,ah,interannual,constant_target_band
JP-25,incidence_per_100k,rh,interannual,constant_target_band
JP-25,incidence_per_100k,tp,interannual,constant_target_band
JP-25,incidence_per_100k,nw_wind,interannual,constant_target_band
JP-25,cases,c2w_event,annual,constant_predictor_band
JP-25,cases,w2c_event,annual,constant_predictor_band
JP-25,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-25,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-25,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-25,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-25,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-25,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-26,cases,w2c_event,interannual,constant_predictor_band
JP-26,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-26,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-26,incidence_per_100k,w2c_transition_intensity,interannual,constant_predictor_band
JP-26,cases,c2w_event,semiannual,constant_predictor_band
JP-26,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-27,cases,w2c_event,interannual,constant_predictor_band
JP-27,incidence_per_100k,w2c_event,interannual,constant_predictor_band
JP-27,cases,w2c_event,annual,constant_predictor_band
JP-27,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-27,cases,c2w_event,semiannual,constant_predictor_band
JP-27,cases,c2w_transition_intensity,semiannual,constant_predictor_band
JP-27,incidence_per_100k,c2w_event,semiannual,constant_predictor_band
JP-27,incidence_per_100k,c2w_transition_intensity,semiannual,constant_predictor_band
JP-27,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-27,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-28,cases,w2c_event,interannual,constant_predictor_band
JP-28,cases,w2c_transition_intensity,interannual,constant_predictor_band
JP-28,incidence_per_100k,w2c_event,interannual,constant_predictor_band
