prefecture_code,variable,assigned_band,band_trajectory_energy_fraction,n_components
JP-07,incidence_per_100k,high_frequency,0.04803059820237825,254
JP-07,incidence_per_100k,interannual,0.002041159405861032,5
JP-07,incidence_per_100k,seasonal_subannual,0.006153590479869563,22
JP-07,incidence_per_100k,semiannual,0.0035092466569795967,8
JP-07,incidence_per_100k,subseasonal,0.019927307658470592,105
JP-07,incidence_per_100k,trend,0.7646768654102973,2
JP-07,nw_wind,annual,0.20285830466749102,5
JP-07,nw_wind,high_frequency,0.16352438177256393,236
JP-07,nw_wind,interannual,0.0021606135348496355,3
JP-07,nw_wind,seasonal_subannual,0.03685798947921493,40
JP-07,nw_wind,semiannual,0.0040593349193969374,3
JP-07,nw_wind,subseasonal,0.07788495151189602,112
JP-07,nw_wind,trend,0.16905319174015404,1
JP-07,rh,annual,0.0024881304521831575,3
JP-07,rh,high_frequency,0.0014980604033225093,166
JP-07,rh,interannual,8.248254416099658e-05,7
JP-07,rh,seasonal_subannual,0.0010247104839689995,58
JP-07,rh,semiannual,0.00041641272483621417,8
JP-07,rh,subseasonal,0.0017543717894491623,157
JP-07,rh,trend,0.9881112789866832,1
