target_variable,frequency_band,selected_alpha,feature_name,feature_type,coefficient,absolute_coefficient
cases,trend,0.01,prefecture_code_JP-24,prefecture_fixed_effect,0.6222518060006627,0.6222518060006627
cases,trend,0.01,prefecture_code_JP-25,prefecture_fixed_effect,-72.90257114364715,72.90257114364715
cases,trend,0.01,prefecture_code_JP-26,prefecture_fixed_effect,2.8592672076788306,2.8592672076788306
cases,trend,0.01,prefecture_code_JP-27,prefecture_fixed_effect,10.121620056935605,10.121620056935605
cases,trend,0.01,prefecture_code_JP-28,prefecture_fixed_effect,6.109332752418721,6.109332752418721
cases,trend,0.01,prefecture_code_JP-29,prefecture_fixed_effect,-4.9462967091872665,4.9462967091872665
cases,trend,0.01,prefecture_code_JP-30,prefecture_fixed_effect,-1.3834479871377325,1.3834479871377325
cases,trend,0.01,prefecture_code_JP-31,prefecture_fixed_effect,0.7154313136378968,0.7154313136378968
cases,trend,0.01,prefecture_code_JP-32,prefecture_fixed_effect,0.41452275667379634,0.41452275667379634
cases,trend,0.01,prefecture_code_JP-33,prefecture_fixed_effect,0.9215982104138147,0.9215982104138147
cases,trend,0.01,prefecture_code_JP-34,prefecture_fixed_effect,2.775457800511067,2.775457800511067
cases,trend,0.01,prefecture_code_JP-35,prefecture_fixed_effect,-0.36011947612117534,0.36011947612117534
cases,trend,0.01,prefecture_code_JP-36,prefecture_fixed_effect,-1.5783440199168548,1.5783440199168548
cases,trend,0.01,prefecture_code_JP-37,prefecture_fixed_effect,-1.8067685495470278,1.8067685495470278
cases,trend,0.01,prefecture_code_JP-38,prefecture_fixed_effect,1.6852500818535607,1.6852500818535607
cases,trend,0.01,prefecture_code_JP-39,prefecture_fixed_effect,-1.2539013039127853,1.2539013039127853
cases,trend,0.01,prefecture_code_JP-40,prefecture_fixed_effect,2.709950705152024,2.709950705152024
cases,trend,0.01,prefecture_code_JP-41,prefecture_fixed_effect,-1.3251389461258074,1.3251389461258074
cases,trend,0.01,prefecture_code_JP-42,prefecture_fixed_effect,-3.026781978452963,3.026781978452963
cases,trend,0.01,prefecture_code_JP-43,prefecture_fixed_effect,1.545146839347347,1.545146839347347
cases,trend,0.01,prefecture_code_JP-44,prefecture_fixed_effect,0.8618363466453232,0.8618363466453232
cases,trend,0.01,prefecture_code_JP-45,prefecture_fixed_effect,0.4847853039617528,0.4847853039617528
cases,trend,0.01,prefecture_code_JP-46,prefecture_fixed_effect,-1.0317356526293184,1.0317356526293184
cases,trend,0.01,prefecture_code_JP-47,prefecture_fixed_effect,-6.324428149032206,6.324428149032206
cases,interannual,1000.0,t2m_lagged,environmental_predictor,-0.035340000753111486,0.035340000753111486
cases,interannual,1000.0,t2m_std_anom_lagged,environmental_predictor,0.011667978596655675,0.011667978596655675
cases,interannual,1000.0,c2w_event_lagged,environmental_predictor,0.040347673522150226,0.040347673522150226
cases,interannual,1000.0,w2c_event_lagged,environmental_predictor,-0.011348619491925635,0.011348619491925635
cases,interannual,1000.0,c2w_transition_intensity_lagged,environmental_predictor,-0.05712110997813846,0.05712110997813846
cases,interannual,1000.0,w2c_transition_intensity_lagged,environmental_predictor,0.011537295852675804,0.011537295852675804
cases,interannual,1000.0,ah_lagged,environmental_predictor,0.00031272885751422013,0.00031272885751422013
cases,interannual,1000.0,rh_lagged,environmental_predictor,-0.013224256604005235,0.013224256604005235
cases,interannual,1000.0,tp_lagged,environmental_predictor,0.0072494322034127034,0.0072494322034127034
cases,interannual,1000.0,nw_wind_lagged,environmental_predictor,-0.004414624755158613,0.004414624755158613
cases,interannual,1000.0,prefecture_code_JP-01,prefecture_fixed_effect,-0.00626966610925303,0.00626966610925303
cases,interannual,1000.0,prefecture_code_JP-02,prefecture_fixed_effect,-0.004181344939539118,0.004181344939539118
cases,interannual,1000.0,prefecture_code_JP-03,prefecture_fixed_effect,-0.01004992500500958,0.01004992500500958
cases,interannual,1000.0,prefecture_code_JP-04,prefecture_fixed_effect,-0.004915865270944807,0.004915865270944807
cases,interannual,1000.0,prefecture_code_JP-05,prefecture_fixed_effect,-0.001890350547268954,0.001890350547268954
cases,interannual,1000.0,prefecture_code_JP-06,prefecture_fixed_effect,-0.004911327952831363,0.004911327952831363
cases,interannual,1000.0,prefecture_code_JP-07,prefecture_fixed_effect,0.014829076225093399,0.014829076225093399
cases,interannual,1000.0,prefecture_code_JP-08,prefecture_fixed_effect,-0.01578154108815042,0.01578154108815042
cases,interannual,1000.0,prefecture_code_JP-09,prefecture_fixed_effect,0.008949476348583686,0.008949476348583686
cases,interannual,1000.0,prefecture_code_JP-10,prefecture_fixed_effect,-0.0022906560806928438,0.0022906560806928438
cases,interannual,1000.0,prefecture_code_JP-11,prefecture_fixed_effect,0.0020615247810421935,0.0020615247810421935
cases,interannual,1000.0,prefecture_code_JP-13,prefecture_fixed_effect,0.00837932260249093,0.00837932260249093
cases,interannual,1000.0,prefecture_code_JP-14,prefecture_fixed_effect,-0.0069621249742435175,0.0069621249742435175
cases,interannual,1000.0,prefecture_code_JP-15,prefecture_fixed_effect,0.024061741271066486,0.024061741271066486
cases,interannual,1000.0,prefecture_code_JP-16,prefecture_fixed_effect,-0.00266332276083428,0.00266332276083428
cases,interannual,1000.0,prefecture_code_JP-18,prefecture_fixed_effect,-0.0011333313627880188,0.0011333313627880188
cases,interannual,1000.0,prefecture_code_JP-19,prefecture_fixed_effect,-0.009098781846593736,0.009098781846593736
cases,interannual,1000.0,prefecture_code_JP-20,prefecture_fixed_effect,-0.0008715132309157866,0.0008715132309157866
cases,interannual,1000.0,prefecture_code_JP-22,prefecture_fixed_effect,-0.01570870044775944,0.01570870044775944
cases,interannual,1000.0,prefecture_code_JP-23,prefecture_fixed_effect,0.08517660979015103,0.08517660979015103
cases,interannual,1000.0,prefecture_code_JP-24,prefecture_fixed_effect,-0.0010058339933919482,0.0010058339933919482
cases,interannual,1000.0,prefecture_code_JP-26,prefecture_fixed_effect,-0.0010033028997256475,0.0010033028997256475
cases,interannual,1000.0,prefecture_code_JP-27,prefecture_fixed_effect,0.004198301296437478,0.004198301296437478
cases,interannual,1000.0,prefecture_code_JP-28,prefecture_fixed_effect,0.0014514847737851333,0.0014514847737851333
cases,interannual,1000.0,prefecture_code_JP-30,prefecture_fixed_effect,-0.003972323710372206,0.003972323710372206
cases,interannual,1000.0,prefecture_code_JP-31,prefecture_fixed_effect,0.0034025146165524273,0.0034025146165524273
cases,interannual,1000.0,prefecture_code_JP-32,prefecture_fixed_effect,0.002535549552344315,0.002535549552344315
cases,interannual,1000.0,prefecture_code_JP-34,prefecture_fixed_effect,-0.008129122796987354,0.008129122796987354
cases,interannual,1000.0,prefecture_code_JP-35,prefecture_fixed_effect,-0.0021556992344020664,0.0021556992344020664
cases,interannual,1000.0,prefecture_code_JP-36,prefecture_fixed_effect,-0.003993946513490109,0.003993946513490109
cases,interannual,1000.0,prefecture_code_JP-37,prefecture_fixed_effect,-0.010418713785449809,0.010418713785449809
cases,interannual,1000.0,prefecture_code_JP-38,prefecture_fixed_effect,-0.004319933458535656,0.004319933458535656
cases,interannual,1000.0,prefecture_code_JP-39,prefecture_fixed_effect,-0.00018910417407856292,0.00018910417407856292
cases,interannual,1000.0,prefecture_code_JP-40,prefecture_fixed_effect,0.0038128320879249017,0.0038128320879249017
cases,interannual,1000.0,prefecture_code_JP-41,prefecture_fixed_effect,-0.007689519980190932,0.007689519980190932
cases,interannual,1000.0,prefecture_code_JP-42,prefecture_fixed_effect,0.004870092219684808,0.004870092219684808
cases,interannual,1000.0,prefecture_code_JP-43,prefecture_fixed_effect,-0.002222790588519601,0.002222790588519601
cases,interannual,1000.0,prefecture_code_JP-44,prefecture_fixed_effect,-0.02053143703652528,0.02053143703652528
cases,interannual,1000.0,prefecture_code_JP-45,prefecture_fixed_effect,-0.004412362062330437,0.004412362062330437
cases,interannual,1000.0,prefecture_code_JP-46,prefecture_fixed_effect,-0.003495592109009048,0.003495592109009048
cases,interannual,1000.0,prefecture_code_JP-47,prefecture_fixed_effect,-0.003460391605318601,0.003460391605318601
cases,annual,0.01,t2m_lagged,environmental_predictor,0.48478503336354595,0.48478503336354595
cases,annual,0.01,t2m_std_anom_lagged,environmental_predictor,-0.007422218029398311,0.007422218029398311
cases,annual,0.01,c2w_event_lagged,environmental_predictor,-0.4586137490964186,0.4586137490964186
cases,annual,0.01,w2c_event_lagged,environmental_predictor,0.035656932276071626,0.035656932276071626
cases,annual,0.01,c2w_transition_intensity_lagged,environmental_predictor,0.20764000746555258,0.20764000746555258
cases,annual,0.01,w2c_transition_intensity_lagged,environmental_predictor,-0.13279995253038432,0.13279995253038432
cases,annual,0.01,ah_lagged,environmental_predictor,-1.7331091229563098,1.7331091229563098
cases,annual,0.01,rh_lagged,environmental_predictor,-0.22596569151913487,0.22596569151913487
cases,annual,0.01,tp_lagged,environmental_predictor,0.18963491395902987,0.18963491395902987
cases,annual,0.01,nw_wind_lagged,environmental_predictor,-0.17030283221155962,0.17030283221155962
cases,annual,0.01,prefecture_code_JP-01,prefecture_fixed_effect,1.8968851367407638,1.8968851367407638
cases,annual,0.01,prefecture_code_JP-02,prefecture_fixed_effect,2.308847695696035,2.308847695696035
cases,annual,0.01,prefecture_code_JP-03,prefecture_fixed_effect,-0.5706094289719412,0.5706094289719412
cases,annual,0.01,prefecture_code_JP-04,prefecture_fixed_effect,-0.06147679768803656,0.06147679768803656
cases,annual,0.01,prefecture_code_JP-05,prefecture_fixed_effect,-0.5978057926058936,0.5978057926058936
cases,annual,0.01,prefecture_code_JP-06,prefecture_fixed_effect,0.026251008546836287,0.026251008546836287
cases,annual,0.01,prefecture_code_JP-07,prefecture_fixed_effect,-0.0660124396720933,0.0660124396720933
cases,annual,0.01,prefecture_code_JP-08,prefecture_fixed_effect,-0.06457698636639239,0.06457698636639239
cases,annual,0.01,prefecture_code_JP-09,prefecture_fixed_effect,-0.06437512737430516,0.06437512737430516
cases,annual,0.01,prefecture_code_JP-10,prefecture_fixed_effect,-0.04627083879249051,0.04627083879249051
cases,annual,0.01,prefecture_code_JP-11,prefecture_fixed_effect,-0.0678727740347917,0.0678727740347917
cases,annual,0.01,prefecture_code_JP-13,prefecture_fixed_effect,-0.06836091281025831,0.06836091281025831
cases,annual,0.01,prefecture_code_JP-14,prefecture_fixed_effect,-0.06631953051765574,0.06631953051765574
cases,annual,0.01,prefecture_code_JP-15,prefecture_fixed_effect,-0.06297903774631923,0.06297903774631923
cases,annual,0.01,prefecture_code_JP-16,prefecture_fixed_effect,-0.060266392797732354,0.060266392797732354
cases,annual,0.01,prefecture_code_JP-17,prefecture_fixed_effect,-0.06880014156178388,0.06880014156178388
cases,annual,0.01,prefecture_code_JP-18,prefecture_fixed_effect,-0.06135700540080841,0.06135700540080841
cases,annual,0.01,prefecture_code_JP-19,prefecture_fixed_effect,-0.02026765634453239,0.02026765634453239
cases,annual,0.01,prefecture_code_JP-20,prefecture_fixed_effect,-0.5462979542404207,0.5462979542404207
cases,annual,0.01,prefecture_code_JP-21,prefecture_fixed_effect,-0.0616522514197802,0.0616522514197802
cases,annual,0.01,prefecture_code_JP-22,prefecture_fixed_effect,-0.08592197297795108,0.08592197297795108
cases,annual,0.01,prefecture_code_JP-23,prefecture_fixed_effect,-0.056354144653815726,0.056354144653815726
cases,annual,0.01,prefecture_code_JP-24,prefecture_fixed_effect,-0.06539080678271796,0.06539080678271796
cases,annual,0.01,prefecture_code_JP-25,prefecture_fixed_effect,-0.06594137106939345,0.06594137106939345
cases,annual,0.01,prefecture_code_JP-26,prefecture_fixed_effect,-0.07031218068248614,0.07031218068248614
cases,annual,0.01,prefecture_code_JP-27,prefecture_fixed_effect,-0.07910438500741858,0.07910438500741858
cases,annual,0.01,prefecture_code_JP-28,prefecture_fixed_effect,-0.0690143401925336,0.0690143401925336
cases,annual,0.01,prefecture_code_JP-29,prefecture_fixed_effect,-0.06363971169732358,0.06363971169732358
cases,annual,0.01,prefecture_code_JP-30,prefecture_fixed_effect,-0.06450431157718131,0.06450431157718131
cases,annual,0.01,prefecture_code_JP-31,prefecture_fixed_effect,-0.062095664336672504,0.062095664336672504
cases,annual,0.01,prefecture_code_JP-32,prefecture_fixed_effect,-0.05920776364289603,0.05920776364289603
cases,annual,0.01,prefecture_code_JP-33,prefecture_fixed_effect,-0.06448869247878485,0.06448869247878485
cases,annual,0.01,prefecture_code_JP-34,prefecture_fixed_effect,-0.0680138780825726,0.0680138780825726
cases,annual,0.01,prefecture_code_JP-35,prefecture_fixed_effect,-0.0765282537746482,0.0765282537746482
cases,annual,0.01,prefecture_code_JP-36,prefecture_fixed_effect,0.06053454624550081,0.06053454624550081
cases,annual,0.01,prefecture_code_JP-37,prefecture_fixed_effect,-0.0629666041758687,0.0629666041758687
cases,annual,0.01,prefecture_code_JP-38,prefecture_fixed_effect,-0.05797037870034586,0.05797037870034586
cases,annual,0.01,prefecture_code_JP-39,prefecture_fixed_effect,0.07116966031972291,0.07116966031972291
cases,annual,0.01,prefecture_code_JP-40,prefecture_fixed_effect,-0.0665059121081252,0.0665059121081252
cases,annual,0.01,prefecture_code_JP-41,prefecture_fixed_effect,-0.060330320828847095,0.060330320828847095
cases,annual,0.01,prefecture_code_JP-42,prefecture_fixed_effect,-0.06604654708571955,0.06604654708571955
cases,annual,0.01,prefecture_code_JP-43,prefecture_fixed_effect,-0.05316883827465855,0.05316883827465855
cases,annual,0.01,prefecture_code_JP-44,prefecture_fixed_effect,-0.0662317653076978,0.0662317653076978
cases,annual,0.01,prefecture_code_JP-45,prefecture_fixed_effect,-0.06401304295787417,0.06401304295787417
cases,annual,0.01,prefecture_code_JP-46,prefecture_fixed_effect,-0.06889977198492125,0.06889977198492125
cases,annual,0.01,prefecture_code_JP-47,prefecture_fixed_effect,-0.2917363208232177,0.2917363208232177
cases,semiannual,0.01,t2m_lagged,environmental_predictor,-0.25637073709737496,0.25637073709737496
cases,semiannual,0.01,t2m_std_anom_lagged,environmental_predictor,0.04254131022477763,0.04254131022477763
cases,semiannual,0.01,c2w_event_lagged,environmental_predictor,0.00645941327223051,0.00645941327223051
cases,semiannual,0.01,w2c_event_lagged,environmental_predictor,0.009517667073855303,0.009517667073855303
cases,semiannual,0.01,c2w_transition_intensity_lagged,environmental_predictor,-0.00231790148748098,0.00231790148748098
cases,semiannual,0.01,w2c_transition_intensity_lagged,environmental_predictor,-0.015314202473456311,0.015314202473456311
cases,semiannual,0.01,ah_lagged,environmental_predictor,0.06910275512736481,0.06910275512736481
cases,semiannual,0.01,rh_lagged,environmental_predictor,-0.02442234592160578,0.02442234592160578
cases,semiannual,0.01,tp_lagged,environmental_predictor,-0.06476305117953558,0.06476305117953558
cases,semiannual,0.01,nw_wind_lagged,environmental_predictor,-0.030047331127667803,0.030047331127667803
cases,semiannual,0.01,prefecture_code_JP-01,prefecture_fixed_effect,-0.002118720314638552,0.002118720314638552
cases,semiannual,0.01,prefecture_code_JP-02,prefecture_fixed_effect,0.0037794621424030567,0.0037794621424030567
cases,semiannual,0.01,prefecture_code_JP-03,prefecture_fixed_effect,0.0002494711491501547,0.0002494711491501547
cases,semiannual,0.01,prefecture_code_JP-04,prefecture_fixed_effect,0.0009438431211155562,0.0009438431211155562
cases,semiannual,0.01,prefecture_code_JP-05,prefecture_fixed_effect,0.002084395052227649,0.002084395052227649
cases,semiannual,0.01,prefecture_code_JP-06,prefecture_fixed_effect,0.002364920852398302,0.002364920852398302
cases,semiannual,0.01,prefecture_code_JP-07,prefecture_fixed_effect,-0.0007767951515257548,0.0007767951515257548
cases,semiannual,0.01,prefecture_code_JP-08,prefecture_fixed_effect,-0.0026551627038001384,0.0026551627038001384
cases,semiannual,0.01,prefecture_code_JP-09,prefecture_fixed_effect,-0.007752940972627871,0.007752940972627871
cases,semiannual,0.01,prefecture_code_JP-10,prefecture_fixed_effect,-0.008335574223683981,0.008335574223683981
cases,semiannual,0.01,prefecture_code_JP-11,prefecture_fixed_effect,0.0028910892204722046,0.0028910892204722046
cases,semiannual,0.01,prefecture_code_JP-13,prefecture_fixed_effect,0.0031294183957121034,0.0031294183957121034
cases,semiannual,0.01,prefecture_code_JP-14,prefecture_fixed_effect,-0.006482575835638625,0.006482575835638625
cases,semiannual,0.01,prefecture_code_JP-15,prefecture_fixed_effect,0.00010240359107892065,0.00010240359107892065
cases,semiannual,0.01,prefecture_code_JP-16,prefecture_fixed_effect,0.0042618399354011835,0.0042618399354011835
cases,semiannual,0.01,prefecture_code_JP-17,prefecture_fixed_effect,0.000566493042579992,0.000566493042579992
cases,semiannual,0.01,prefecture_code_JP-18,prefecture_fixed_effect,0.003160082748705042,0.003160082748705042
cases,semiannual,0.01,prefecture_code_JP-19,prefecture_fixed_effect,0.0027282515705098,0.0027282515705098
cases,semiannual,0.01,prefecture_code_JP-20,prefecture_fixed_effect,0.0012816376019622673,0.0012816376019622673
cases,semiannual,0.01,prefecture_code_JP-21,prefecture_fixed_effect,-0.007233428874941377,0.007233428874941377
cases,semiannual,0.01,prefecture_code_JP-22,prefecture_fixed_effect,0.00012772948872066966,0.00012772948872066966
cases,semiannual,0.01,prefecture_code_JP-23,prefecture_fixed_effect,-0.008169276027521816,0.008169276027521816
cases,semiannual,0.01,prefecture_code_JP-24,prefecture_fixed_effect,-0.0018763660087182622,0.0018763660087182622
cases,semiannual,0.01,prefecture_code_JP-25,prefecture_fixed_effect,0.00021637439338917114,0.00021637439338917114
cases,semiannual,0.01,prefecture_code_JP-26,prefecture_fixed_effect,0.0013358636711018658,0.0013358636711018658
cases,semiannual,0.01,prefecture_code_JP-27,prefecture_fixed_effect,-0.006378152220747214,0.006378152220747214
cases,semiannual,0.01,prefecture_code_JP-28,prefecture_fixed_effect,-0.002803168778605229,0.002803168778605229
cases,semiannual,0.01,prefecture_code_JP-29,prefecture_fixed_effect,-0.0012962399812894826,0.0012962399812894826
cases,semiannual,0.01,prefecture_code_JP-30,prefecture_fixed_effect,0.0023865269184629137,0.0023865269184629137
cases,semiannual,0.01,prefecture_code_JP-31,prefecture_fixed_effect,-0.006549676949906315,0.006549676949906315
cases,semiannual,0.01,prefecture_code_JP-32,prefecture_fixed_effect,-0.00043121933447839165,0.00043121933447839165
cases,semiannual,0.01,prefecture_code_JP-33,prefecture_fixed_effect,-0.004413322179418831,0.004413322179418831
cases,semiannual,0.01,prefecture_code_JP-34,prefecture_fixed_effect,0.0032635290365777086,0.0032635290365777086
cases,semiannual,0.01,prefecture_code_JP-35,prefecture_fixed_effect,0.0026059398495456875,0.0026059398495456875
cases,semiannual,0.01,prefecture_code_JP-36,prefecture_fixed_effect,0.0055406248654354725,0.0055406248654354725
cases,semiannual,0.01,prefecture_code_JP-37,prefecture_fixed_effect,-0.0004811189867173118,0.0004811189867173118
cases,semiannual,0.01,prefecture_code_JP-38,prefecture_fixed_effect,-7.684891243159747e-05,7.684891243159747e-05
cases,semiannual,0.01,prefecture_code_JP-39,prefecture_fixed_effect,0.0018863677458415356,0.0018863677458415356
cases,semiannual,0.01,prefecture_code_JP-40,prefecture_fixed_effect,-6.439031337298185e-05,6.439031337298185e-05
cases,semiannual,0.01,prefecture_code_JP-41,prefecture_fixed_effect,0.005424106565221786,0.005424106565221786
cases,semiannual,0.01,prefecture_code_JP-42,prefecture_fixed_effect,-0.003210409561796447,0.003210409561796447
cases,semiannual,0.01,prefecture_code_JP-43,prefecture_fixed_effect,0.0031931909692058066,0.0031931909692058066
cases,semiannual,0.01,prefecture_code_JP-44,prefecture_fixed_effect,0.00396641888675382,0.00396641888675382
cases,semiannual,0.01,prefecture_code_JP-45,prefecture_fixed_effect,0.0032733213850706347,0.0032733213850706347
cases,semiannual,0.01,prefecture_code_JP-46,prefecture_fixed_effect,0.0007612611331492965,0.0007612611331492965
cases,semiannual,0.01,prefecture_code_JP-47,prefecture_fixed_effect,0.009580823999667518,0.009580823999667518
cases,seasonal_subannual,1000.0,t2m_lagged,environmental_predictor,-0.009569538750448388,0.009569538750448388
cases,seasonal_subannual,1000.0,t2m_std_anom_lagged,environmental_predictor,-0.030778688697254773,0.030778688697254773
cases,seasonal_subannual,1000.0,c2w_event_lagged,environmental_predictor,-0.005343232791219733,0.005343232791219733
cases,seasonal_subannual,1000.0,w2c_event_lagged,environmental_predictor,-0.00062979016677792,0.00062979016677792
cases,seasonal_subannual,1000.0,c2w_transition_intensity_lagged,environmental_predictor,0.001538449428063289,0.001538449428063289
cases,seasonal_subannual,1000.0,w2c_transition_intensity_lagged,environmental_predictor,0.0012708390758725,0.0012708390758725
cases,seasonal_subannual,1000.0,ah_lagged,environmental_predictor,0.03927574498934601,0.03927574498934601
cases,seasonal_subannual,1000.0,rh_lagged,environmental_predictor,-0.045463858846045827,0.045463858846045827
cases,seasonal_subannual,1000.0,tp_lagged,environmental_predictor,0.004428143427595497,0.004428143427595497
cases,seasonal_subannual,1000.0,nw_wind_lagged,environmental_predictor,0.0022314369059186516,0.0022314369059186516
cases,seasonal_subannual,1000.0,prefecture_code_JP-01,prefecture_fixed_effect,-0.0021808514372981514,0.0021808514372981514
cases,seasonal_subannual,1000.0,prefecture_code_JP-02,prefecture_fixed_effect,-7.717746304816907e-06,7.717746304816907e-06
cases,seasonal_subannual,1000.0,prefecture_code_JP-03,prefecture_fixed_effect,-0.002848337271659407,0.002848337271659407
cases,seasonal_subannual,1000.0,prefecture_code_JP-04,prefecture_fixed_effect,-0.0015863273216776897,0.0015863273216776897
cases,seasonal_subannual,1000.0,prefecture_code_JP-05,prefecture_fixed_effect,0.0009926520236925806,0.0009926520236925806
cases,seasonal_subannual,1000.0,prefecture_code_JP-06,prefecture_fixed_effect,0.0020991661283863224,0.0020991661283863224
cases,seasonal_subannual,1000.0,prefecture_code_JP-07,prefecture_fixed_effect,-0.0003944502124810123,0.0003944502124810123
cases,seasonal_subannual,1000.0,prefecture_code_JP-08,prefecture_fixed_effect,-0.0026316872156052057,0.0026316872156052057
cases,seasonal_subannual,1000.0,prefecture_code_JP-09,prefecture_fixed_effect,0.003034106213233922,0.003034106213233922
cases,seasonal_subannual,1000.0,prefecture_code_JP-10,prefecture_fixed_effect,0.001062524661159934,0.001062524661159934
cases,seasonal_subannual,1000.0,prefecture_code_JP-11,prefecture_fixed_effect,-0.005914203782401563,0.005914203782401563
cases,seasonal_subannual,1000.0,prefecture_code_JP-13,prefecture_fixed_effect,-0.013200448863386963,0.013200448863386963
cases,seasonal_subannual,1000.0,prefecture_code_JP-14,prefecture_fixed_effect,0.02855729433039407,0.02855729433039407
cases,seasonal_subannual,1000.0,prefecture_code_JP-15,prefecture_fixed_effect,0.0002977580194897276,0.0002977580194897276
cases,seasonal_subannual,1000.0,prefecture_code_JP-16,prefecture_fixed_effect,0.0010523497997678476,0.0010523497997678476
cases,seasonal_subannual,1000.0,prefecture_code_JP-17,prefecture_fixed_effect,0.0011417918376697294,0.0011417918376697294
cases,seasonal_subannual,1000.0,prefecture_code_JP-18,prefecture_fixed_effect,0.0013822555213998493,0.0013822555213998493
cases,seasonal_subannual,1000.0,prefecture_code_JP-19,prefecture_fixed_effect,0.0008923726241142084,0.0008923726241142084
cases,seasonal_subannual,1000.0,prefecture_code_JP-20,prefecture_fixed_effect,0.0015588150091042556,0.0015588150091042556
cases,seasonal_subannual,1000.0,prefecture_code_JP-21,prefecture_fixed_effect,0.00112405232819471,0.00112405232819471
cases,seasonal_subannual,1000.0,prefecture_code_JP-22,prefecture_fixed_effect,-0.0050883107184450885,0.0050883107184450885
cases,seasonal_subannual,1000.0,prefecture_code_JP-23,prefecture_fixed_effect,-0.005944298907877288,0.005944298907877288
cases,seasonal_subannual,1000.0,prefecture_code_JP-24,prefecture_fixed_effect,0.0006038289834897573,0.0006038289834897573
cases,seasonal_subannual,1000.0,prefecture_code_JP-25,prefecture_fixed_effect,0.0019272387413261762,0.0019272387413261762
cases,seasonal_subannual,1000.0,prefecture_code_JP-26,prefecture_fixed_effect,0.0025107522365436247,0.0025107522365436247
cases,seasonal_subannual,1000.0,prefecture_code_JP-27,prefecture_fixed_effect,-0.00550519452054459,0.00550519452054459
cases,seasonal_subannual,1000.0,prefecture_code_JP-28,prefecture_fixed_effect,-0.0006613100038216825,0.0006613100038216825
cases,seasonal_subannual,1000.0,prefecture_code_JP-29,prefecture_fixed_effect,0.0002044960034714215,0.0002044960034714215
cases,seasonal_subannual,1000.0,prefecture_code_JP-30,prefecture_fixed_effect,-0.000384619688646847,0.000384619688646847
cases,seasonal_subannual,1000.0,prefecture_code_JP-31,prefecture_fixed_effect,0.0025617887032695456,0.0025617887032695456
