prefecture_code,target_variable,frequency_band,status,rows_before_lag_drop,rows_after_lag_drop,dropped_initial_rows,train_rows,validation_rows,test_rows,maximum_applied_lag_days
JP-03,incidence_per_100k,high_frequency,created,5478,5465,13,4370,365,730,13.0
JP-04,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-04,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-04,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-04,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-04,cases,annual,created,5478,5468,10,4373,365,730,10.0
JP-04,incidence_per_100k,annual,created,5478,5468,10,4373,365,730,10.0
JP-04,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-04,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-04,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-04,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-04,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-04,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-04,cases,high_frequency,created,5478,5469,9,4374,365,730,9.0
JP-04,incidence_per_100k,high_frequency,created,5478,5469,9,4374,365,730,9.0
JP-05,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-05,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-05,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-05,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-05,cases,annual,created,5478,5452,26,4357,365,730,26.0
JP-05,incidence_per_100k,annual,created,5478,5452,26,4357,365,730,26.0
JP-05,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-05,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-05,cases,seasonal_subannual,created,5478,5461,17,4366,365,730,17.0
JP-05,incidence_per_100k,seasonal_subannual,created,5478,5461,17,4366,365,730,17.0
JP-05,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-05,incidence_per_100k,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-05,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-05,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-06,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-06,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-06,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-06,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-06,cases,annual,created,5478,5478,0,4383,365,730,0.0
JP-06,incidence_per_100k,annual,created,5478,5478,0,4383,365,730,0.0
JP-06,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-06,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-06,cases,seasonal_subannual,created,5478,5463,15,4368,365,730,15.0
JP-06,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-06,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-06,incidence_per_100k,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-06,cases,high_frequency,created,5478,5471,7,4376,365,730,7.0
JP-06,incidence_per_100k,high_frequency,created,5478,5469,9,4374,365,730,9.0
JP-07,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-07,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-07,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-07,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-07,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-07,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-07,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-07,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-07,cases,seasonal_subannual,created,5478,5456,22,4361,365,730,22.0
JP-07,incidence_per_100k,seasonal_subannual,created,5478,5456,22,4361,365,730,22.0
JP-07,cases,subseasonal,created,5478,5461,17,4366,365,730,17.0
JP-07,incidence_per_100k,subseasonal,created,5478,5461,17,4366,365,730,17.0
JP-07,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-07,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-08,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-08,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-08,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-08,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-08,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-08,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-08,cases,semiannual,created,5478,5449,29,4354,365,730,29.0
JP-08,incidence_per_100k,semiannual,created,5478,5450,28,4355,365,730,28.0
JP-08,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-08,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-08,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-08,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-08,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-08,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-09,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-09,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-09,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-09,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-09,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-09,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-09,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-09,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-09,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-09,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-09,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-09,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-09,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-09,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-10,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-10,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-10,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-10,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-10,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-10,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-10,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-10,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-10,cases,seasonal_subannual,created,5478,5453,25,4358,365,730,25.0
JP-10,incidence_per_100k,seasonal_subannual,created,5478,5454,24,4359,365,730,24.0
JP-10,cases,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-10,incidence_per_100k,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-10,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-10,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-11,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-11,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-11,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-11,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-11,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-11,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-11,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-11,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-11,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-11,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-11,cases,subseasonal,created,5478,5463,15,4368,365,730,15.0
JP-11,incidence_per_100k,subseasonal,created,5478,5463,15,4368,365,730,15.0
JP-11,cases,high_frequency,created,5478,5465,13,4370,365,730,13.0
JP-11,incidence_per_100k,high_frequency,created,5478,5465,13,4370,365,730,13.0
JP-13,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-13,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-13,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-13,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-13,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-13,incidence_per_100k,annual,created,5478,5456,22,4361,365,730,22.0
JP-13,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-13,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-13,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-13,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-13,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-13,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-13,cases,high_frequency,created,5478,5465,13,4370,365,730,13.0
JP-13,incidence_per_100k,high_frequency,created,5478,5468,10,4373,365,730,10.0
JP-14,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-14,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-14,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-14,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-14,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-14,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-14,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-14,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-14,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-14,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-14,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-14,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-14,cases,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-14,incidence_per_100k,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-15,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-15,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-15,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-15,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-15,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-15,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-15,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-15,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-15,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-15,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-15,cases,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-15,incidence_per_100k,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-15,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-15,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-16,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-16,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-16,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-16,incidence_per_100k,interannual,skipped_constant_target_band,5478,0,5478,0,0,0,
JP-16,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-16,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-16,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-16,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-16,cases,seasonal_subannual,created,5478,5449,29,4354,365,730,29.0
JP-16,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-16,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-16,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-16,cases,high_frequency,created,5478,5467,11,4372,365,730,11.0
JP-16,incidence_per_100k,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-17,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-17,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-17,cases,interannual,skipped_constant_target_band,5478,0,5478,0,0,0,
JP-17,incidence_per_100k,interannual,skipped_constant_target_band,5478,0,5478,0,0,0,
JP-17,cases,annual,created,5478,5473,5,4378,365,730,5.0
JP-17,incidence_per_100k,annual,created,5478,5473,5,4378,365,730,5.0
JP-17,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-17,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-17,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-17,incidence_per_100k,seasonal_subannual,created,5478,5456,22,4361,365,730,22.0
JP-17,cases,subseasonal,created,5478,5460,18,4365,365,730,18.0
JP-17,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-17,cases,high_frequency,created,5478,5467,11,4372,365,730,11.0
JP-17,incidence_per_100k,high_frequency,created,5478,5467,11,4372,365,730,11.0
JP-18,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-18,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-18,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-18,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-18,cases,annual,created,5478,5459,19,4364,365,730,19.0
JP-18,incidence_per_100k,annual,created,5478,5459,19,4364,365,730,19.0
JP-18,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-18,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-18,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-18,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-18,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-18,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-18,cases,high_frequency,created,5478,5470,8,4375,365,730,8.0
JP-18,incidence_per_100k,high_frequency,created,5478,5470,8,4375,365,730,8.0
JP-19,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-19,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-19,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-19,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-19,cases,annual,created,5478,5475,3,4380,365,730,3.0
JP-19,incidence_per_100k,annual,created,5478,5475,3,4380,365,730,3.0
JP-19,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-19,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-19,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-19,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-19,cases,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-19,incidence_per_100k,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-19,cases,high_frequency,created,5478,5465,13,4370,365,730,13.0
JP-19,incidence_per_100k,high_frequency,created,5478,5465,13,4370,365,730,13.0
JP-20,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-20,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-20,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-20,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-20,cases,annual,created,5478,5472,6,4377,365,730,6.0
JP-20,incidence_per_100k,annual,created,5478,5472,6,4377,365,730,6.0
JP-20,cases,semiannual,created,5478,5460,18,4365,365,730,18.0
JP-20,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-20,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-20,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-20,cases,subseasonal,created,5478,5472,6,4377,365,730,6.0
JP-20,incidence_per_100k,subseasonal,created,5478,5472,6,4377,365,730,6.0
JP-20,cases,high_frequency,created,5478,5471,7,4376,365,730,7.0
JP-20,incidence_per_100k,high_frequency,created,5478,5468,10,4373,365,730,10.0
JP-21,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-21,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-21,cases,interannual,skipped_constant_target_band,5478,0,5478,0,0,0,
JP-21,incidence_per_100k,interannual,skipped_constant_target_band,5478,0,5478,0,0,0,
JP-21,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-21,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-21,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-21,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-21,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-21,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-21,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-21,incidence_per_100k,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-21,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-21,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-22,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-22,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-22,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-22,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-22,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-22,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-22,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-22,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-22,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-22,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-22,cases,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-22,incidence_per_100k,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-22,cases,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-22,incidence_per_100k,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-23,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-23,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-23,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-23,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-23,cases,annual,created,5478,5464,14,4369,365,730,14.0
JP-23,incidence_per_100k,annual,created,5478,5465,13,4370,365,730,13.0
JP-23,cases,semiannual,created,5478,5452,26,4357,365,730,26.0
JP-23,incidence_per_100k,semiannual,created,5478,5452,26,4357,365,730,26.0
JP-23,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-23,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-23,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-23,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-23,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-23,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-24,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-24,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-24,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-24,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-24,cases,annual,created,5478,5475,3,4380,365,730,3.0
JP-24,incidence_per_100k,annual,created,5478,5475,3,4380,365,730,3.0
JP-24,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-24,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-24,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-24,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-24,cases,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-24,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-24,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-24,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-25,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-25,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-25,cases,interannual,skipped_constant_target_band,5478,0,5478,0,0,0,
JP-25,incidence_per_100k,interannual,skipped_constant_target_band,5478,0,5478,0,0,0,
JP-25,cases,annual,created,5478,5465,13,4370,365,730,13.0
JP-25,incidence_per_100k,annual,created,5478,5465,13,4370,365,730,13.0
JP-25,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-25,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-25,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-25,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-25,cases,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-25,incidence_per_100k,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-25,cases,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-25,incidence_per_100k,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-26,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-26,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-26,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-26,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-26,cases,annual,created,5478,5459,19,4364,365,730,19.0
JP-26,incidence_per_100k,annual,created,5478,5457,21,4362,365,730,21.0
JP-26,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-26,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-26,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-26,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-26,cases,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-26,incidence_per_100k,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-26,cases,high_frequency,created,5478,5465,13,4370,365,730,13.0
JP-26,incidence_per_100k,high_frequency,created,5478,5465,13,4370,365,730,13.0
JP-27,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-27,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-27,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-27,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-27,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-27,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-27,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-27,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-27,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-27,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-27,cases,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-27,incidence_per_100k,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-27,cases,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-27,incidence_per_100k,high_frequency,created,5478,5466,12,4371,365,730,12.0
JP-28,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-28,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-28,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-28,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-28,cases,annual,created,5478,5462,16,4367,365,730,16.0
JP-28,incidence_per_100k,annual,created,5478,5462,16,4367,365,730,16.0
JP-28,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
